Company,Model,Displ,Cyl,Drive,Fuel,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2,Trans_type,Gear_num
AUDI,SQ7,4.0,8.0,4WD,Gasoline,standard SUV,3,15,21,17,3,No,525,SemiAuto,8
AUDI,SQ8,4.0,8.0,4WD,Gasoline,standard SUV,3,15,21,17,3,No,518,SemiAuto,8
BENTLEY,Continental GT,6.0,12.0,4WD,Gasoline,small car,3,12,20,15,2,No,591,AMS,8
BENTLEY,Continental GTC,6.0,12.0,4WD,Gasoline,small car,3,12,19,14,2,No,624,AMS,8
BENTLEY,Flying Spur,6.0,12.0,4WD,Gasoline,midsize car,3,12,19,15,2,No,608,AMS,8
BMW,228i Gran Coupe,2.0,4.0,2WD,Gasoline,small car,7,24,34,28,6,No,315,SemiAuto,8
BMW,228i xDrive Gran Coupe,2.0,4.0,4WD,Gasoline,small car,7,23,33,27,5,No,330,SemiAuto,8
BMW,230i Coupe,2.0,4.0,2WD,Gasoline,small car,3,26,35,30,6,No,296,SemiAuto,8
BMW,230i xDrive Coupe,2.0,4.0,4WD,Gasoline,small car,3,25,33,28,6,No,314,SemiAuto,8
BMW,330e,2.0,4.0,2WD,Gasoline/Electricity,small car,7,69,78,73,8,Yes,158,SemiAuto,8
BMW,330e,2.0,4.0,4WD,Gasoline/Electricity,small car,7,64,75,68,8,Yes,172,SemiAuto,8
BMW,330i,2.0,4.0,2WD,Gasoline,small car,7,25,34,29,6,No,308,SemiAuto,8
BMW,330i,2.0,4.0,4WD,Gasoline,small car,7,24,33,27,5,No,322,SemiAuto,8
BMW,430i Convertible,2.0,4.0,2WD,Gasoline,small car,7,25,34,28,6,No,312,SemiAuto,8
BMW,430i Convertible,2.0,4.0,4WD,Gasoline,small car,7,23,33,27,5,No,326,SemiAuto,8
BMW,430i Coupe,2.0,4.0,2WD,Gasoline,small car,7,25,34,28,6,No,312,SemiAuto,8
BMW,430i Coupe,2.0,4.0,4WD,Gasoline,small car,7,23,33,27,5,No,326,SemiAuto,8
BMW,430i Gran Coupe,2.0,4.0,2WD,Gasoline,small car,7,25,34,28,6,No,312,SemiAuto,8
BMW,430i Gran Coupe,2.0,4.0,4WD,Gasoline,small car,7,23,33,27,5,No,326,SemiAuto,8
BMW,530i,2.0,4.0,2WD,Gasoline,midsize car,7,27,35,30,6,No,292,SemiAuto,8
BMW,530i,2.0,4.0,4WD,Gasoline,midsize car,7,27,35,30,6,No,292,SemiAuto,8
BMW,740i,3.0,6.0,2WD,Gasoline,large car,7,25,31,28,6,No,317,SemiAuto,8
BMW,740i,3.0,6.0,4WD,Gasoline,large car,7,24,31,27,5,No,326,SemiAuto,8
BMW,750e xDrive,3.0,6.0,4WD,Gasoline/Electricity,large car,7,60,72,65,9,Yes,132,SemiAuto,8
BMW,760i xDrive,4.4,8.0,4WD,Gasoline,large car,5,18,25,20,4,No,427,SemiAuto,8
BMW,840i Convertible,3.0,6.0,2WD,Gasoline,small car,3,21,29,24,5,No,374,SemiAuto,8
BMW,840i Coupe,3.0,6.0,2WD,Gasoline,small car,3,21,29,24,5,No,373,SemiAuto,8
BMW,840i Gran Coupe,3.0,6.0,2WD,Gasoline,midsize car,3,21,29,24,5,No,374,SemiAuto,8
BMW,840i xDrive Convertible,3.0,6.0,4WD,Gasoline,small car,3,21,29,24,5,No,373,SemiAuto,8
BMW,840i xDrive Coupe,3.0,6.0,4WD,Gasoline,small car,3,21,29,24,5,No,373,SemiAuto,8
BMW,840i xDrive Gran Coupe,3.0,6.0,4WD,Gasoline,midsize car,3,21,29,24,5,No,373,SemiAuto,8
BMW,ALPINA B8 Gran Coupe,4.4,8.0,4WD,Gasoline,midsize car,3,17,24,19,4,No,457,SemiAuto,8
BMW,Alpina XB7,4.4,8.0,4WD,Gasoline,standard SUV,5,16,20,17,3,No,506,SemiAuto,8
BMW,M2 Coupe,3.0,6.0,2WD,Gasoline,small car,5,16,24,19,4,No,461,Man,6
BMW,M2 Coupe,3.0,6.0,2WD,Gasoline,small car,5,16,23,19,4,No,472,SemiAuto,8
BMW,M235i xDrive Gran Coupe,2.0,4.0,4WD,Gasoline,small car,3,24,33,27,5,No,325,SemiAuto,8
BMW,M240i Coupe,3.0,6.0,2WD,Gasoline,small car,5,22,32,26,5,No,343,SemiAuto,8
BMW,M240i Coupe,3.0,6.0,4WD,Gasoline,small car,5,23,32,26,5,No,338,SemiAuto,8
BMW,M3,3.0,6.0,2WD,Gasoline,small car,5,16,23,19,4,No,472,Man,6
BMW,M3 CS,3.0,6.0,4WD,Gasoline,small car,5,15,22,18,4,No,491,SemiAuto,8
BMW,M3 Competition,3.0,6.0,2WD,Gasoline,small car,5,16,23,19,4,No,470,SemiAuto,8
BMW,M3 Competition M,3.0,6.0,4WD,Gasoline,small car,5,16,22,18,4,No,477,SemiAuto,8
